Month,Year,X2
3,1957,50.2513777
4,1957,68.35593926
5,1957,62.76103751
6,1957,62.92613591
7,1957,NA
8,1957,87.16059593
9,1957,81.13188868
10,1957,69.75646147
11,1957,66.87687917
12,1957,65.38614448
1,1958,56.37384002
2,1958,NA
3,1958,47.40307419
4,1958,NA
5,1958,51.64228498
6,1958,53.87544268
7,1958,70.64492303
8,1958,76.15680009
9,1958,73.02220644
10,1958,72.92835298
11,1958,70.82428574
12,1958,71.16091078
1,1959,63.83057517
2,1959,55.78549353
3,1959,61.06433134
4,1959,72.4201464
5,1959,78.08838705
6,1959,89.02460813
7,1959,94.11612146
8,1959,90.34449036
9,1959,83.30993097
10,1959,82.4891432
11,1959,82.16851667
12,1959,84.77681595
1,1960,78.34984501
2,1960,61.28871588
3,1960,58.2546213
4,1960,67.99550589
5,1960,72.08218186
6,1960,82.93261936
7,1960,91.49131629
8,1960,92.19031159
9,1960,88.59092455
10,1960,85.26405578
11,1960,79.87447147
12,1960,69.1444594
1,1961,72.46755865
2,1961,57.57486148
3,1961,60.73063456
4,1961,68.2166093
5,1961,76.87680955
6,1961,83.40131846
7,1961,93.19126291
8,1961,93.3991134
9,1961,88.5651149
10,1961,88.30346945
11,1961,85.09642314
12,1961,73.06989247
1,1962,77.56553634
2,1962,60.5112114
3,1962,55.29730996
4,1962,59.34211142
5,1962,68.05412516
6,1962,72.78075081
7,1962,84.45351779
8,1962,86.34375122
9,1962,80.50906705
10,1962,69.92113233
11,1962,69.11167369
12,1962,62.03245827
1,1963,66.0018647
2,1963,49.45280432
3,1963,64.28463234
4,1963,45.25439773
5,1963,55.1835212
6,1963,66.33549901
7,1963,77.98201819
8,1963,85.36767709
9,1963,77.38723105
10,1963,71.17923853
11,1963,66.55171173
12,1963,66.31440722
1,1964,67.8301727
2,1964,64.13479318
3,1964,71.06827746
4,1964,75.17156589
5,1964,78.72515974
6,1964,NA
7,1964,88.77912372
8,1964,91.3594331
9,1964,81.04737983
10,1964,78.68791113
11,1964,73.99884013
12,1964,72.46333021
1,1965,51.72550372
2,1965,58.04809726
3,1965,64.7197412
4,1965,60.25608825
5,1965,62.46775832
6,1965,68.51725454
7,1965,78.23076106
8,1965,81.00311034
9,1965,73.55447423
10,1965,70.2911528
11,1965,67.82675577
12,1965,66.16904252
1,1966,56.97261776
2,1966,60.03091881
3,1966,62.57837996
4,1966,65.66960998
5,1966,73.69725787
6,1966,85.48669051
7,1966,92.65424683
8,1966,91.01465337
9,1966,84.8527648
10,1966,83.10310837
11,1966,75.12107202
12,1966,59.41442516
1,1967,63.61387716
2,1967,54.64326888
3,1967,57.74424067
4,1967,53.9863382
5,1967,54.40486202
6,1967,55.53937423
7,1967,60.81572502
8,1967,75.28766107
9,1967,71.725666
10,1967,69.04804476
11,1967,71.12000552
12,1967,70.86898591
1,1968,70.20522174
