Station,Microcystis,Temperature,Secchi,Salinity,N,Northing,Easting,notes,Region
801,1.807017544,21.12807018,62.9122807,2.060518279,57,601435.1341,4211293.683,NA,LowerSac
802,1.766666667,20.51333333,64.96566667,2.718182218,30,601907.4813,4210365.772,NA,LowerSac
804,1.931034483,21.2862069,72.07632184,1.378897609,87,605595.9771,4208516.567,NA,LowerSac
804,1.931034483,21.2862069,72.07632184,1.378897609,87,605441.5042,4209056.755,NA,LowerSac
806,1.833333333,19.55333333,75.56666667,1.217575017,30,608679.0777,4209725.137,NA,LowerSac
807,1.833333333,19.63333333,85.803,0.93340078,30,611281.2988,4209896.71,NA,LowerSac
808,1.931034483,19.73793103,93.04275862,0.8185406,29,612382.813,4210291.358,NA,LowerSac
809,2.105882353,21.23809524,88.20190476,0.521667169,85,614669.3074,4212301.975,NA,LowerSac
809,2.105882353,21.23809524,88.20190476,0.521667169,85,615005.5703,4212450.988,NA,LowerSac
810,2,20.19310345,103.1824138,0.447989456,29,616114.9722,4214501.027,NA,LowerSac
811,2.233333333,20.36,113.7406667,0.320157384,30,617068.1619,4217465.727,NA,Mid SJ
812,2.356321839,21.78045977,105.6141176,0.223229112,87,618489.9984,4216431.942,NA,Mid SJ
812,2.356321839,21.78045977,105.6141176,0.223229112,87,619216.6502,4216707.309,NA,Mid SJ
813,2.1,20.34666667,126.4713333,0.193915076,30,620326.2459,4217775.157,NA,Mid SJ
814,2.1,20.43333333,128.813,0.167147579,30,622557.0618,4217974.919,NA,Mid SJ
815,2.390804598,22.04022989,130.779186,0.145988221,87,625433.8648,4215656.909,NA,Mid SJ
815,2.390804598,22.04022989,130.779186,0.145988221,87,624882.7374,4216902.606,NA,Mid SJ
902,2.4,22.08333333,174.4510714,0.251068666,85,624450.1878,4208893.187,NA,Franks
902,2.4,22.08333333,174.4510714,0.251068666,85,624416.765,4209037.577,NA,Franks
903,1.137931034,19.28275862,196.6348276,0.082220118,29,625593.7266,4218576.152,NA,East
904,2.233333333,20.3,148.02,0.152041475,30,625553.9498,4215467.859,NA,Mid SJ
905,2.1,20.32333333,150.841,0.152149506,30,626703.7275,4213404.622,NA,Mid SJ
906,2.523255814,22.71860465,150.5868235,0.134804427,86,630817.4541,4212599.925,NA,Mid SJ
906,2.523255814,22.71860465,150.5868235,0.134804427,86,630152.4542,4212858.497,NA,Mid SJ
