"(Intercept)","CVPSWPs","OUTms","Outs","SACms","SACs","SJRms","SJRs","Temp","X2s","df","logLik","BIC","delta","weight"
5.60109744449263,-2.41579301788467,NA,-1.50808250882677,-0.656745976093386,4.90998191148285,NA,NA,NA,2.74588641405563,9,-818.266976979889,1690.08973693307,6.73522752590611,0.00840884278275858
5.75807629874437,-1.95192882620239,NA,-1.25690996387935,-0.478585931510716,4.03449968670818,NA,-0.762911199671298,0.988232243211044,2.56266541467448,11,-812.334913302147,1690.12689468276,6.77238527559598,0.00825405825854012
5.68871807778475,-0.91614744032861,-2.34767727322409,NA,NA,2.29141317026207,2.12493448676712,-2.08812760191662,1.15842576687823,2.72012728362865,11,-812.489287683642,1690.43564344575,7.08113403858692,0.0070733245872423
5.66492405838358,-2.65396714040294,0.0359023601732162,-1.79663273270559,-1.85954679533254,5.59032963646334,0.911989832778896,NA,NA,2.20797313136299,11,-812.576969982243,1690.61100804295,7.25649863578883,0.00647953215482392
5.41697736306943,-2.39563673390345,1.55497594860708,-1.67396573713378,-2.41542952381821,5.18854268890921,NA,-0.572447597497531,NA,2.16022486437678,11,-812.625853610829,1690.70877530012,7.35426589296026,0.00617040626422257
5.78611722763326,-1.966336740214,-0.823002003803741,-1.34072523327613,-1.10839897343893,4.30922942848665,1.38356695909272,-1.16168303366107,0.94431150701557,2.12526204986452,13,-806.96565736771,1691.28966791906,7.93515851189909,0.00461503001337245
5.87458275915094,-2.31686313991692,-0.324339284053783,-1.48858060395383,NA,4.64147941879002,NA,NA,0.893612576489384,3.12378281651767,10,-815.994628693602,1691.49568291308,8.14117350591982,0.00416331184598098
5.45784873622832,-0.879542601290359,NA,NA,-1.20466492777093,2.31139709190109,0.804916638999395,-2.16881613567852,1.08287146824598,2.64596583381166,11,-813.219848221627,1691.89676452172,8.54225511455729,0.00340678853872337
5.53266401346561,-2.49742354129854,NA,-1.61606739034207,NA,5.15512231623868,NA,NA,NA,3.74849841061076,8,-822.665181688065,1692.93550379683,9.58099438966883,0.00202668293109298
5.54906366252701,-1.62950400930535,NA,-1.08461505465736,NA,3.57772883731899,0.0994947683977581,-1.56491256302925,1.02326530434742,3.09912171837516,11,-813.920005467528,1693.29707901352,9.94256960635948,0.00169149511986743
5.63672176137614,-1.74049214460721,-0.0881723948405263,-1.12688772761647,NA,3.69545951920555,NA,-1.22401657468355,1.01921730628771,2.96627683672489,11,-813.982045134002,1693.42115834647,10.0666489393061,0.00158974425545527
5.81581911183318,-2.35788161558845,NA,-1.54670650772936,NA,4.76377131706192,-0.162325407908555,NA,0.857311420878098,3.39257355237862,10,-817.273738208076,1694.05390194203,10.6993925348665,0.00115858723254035
5.51288940417746,-0.946896735831643,NA,NA,-0.313955801674215,2.19728033983536,NA,-1.71313305002576,1.11147391567988,3.02053915980647,10,-817.280663812391,1694.06775315066,10.7132437434977,0.00115059103700658
5.27418293635877,NA,NA,NA,NA,1.01073333384004,NA,-2.85634386519418,1.31880858579925,2.82743886837606,8,-823.427910233395,1694.46096088749,11.10645148033,0.000945228943248754
5.71504820371557,-2.25057758930547,-2.67764655822372,-1.39726132374051,NA,4.77777736909425,2.29382273022435,-0.635529482302279,NA,2.6088676434528,11,-814.585189434741,1694.62744694795,11.2729375407841,0.000869731145659969
5.36353072359147,-0.875281373293913,1.06510881270568,NA,-1.50775770629762,2.28456981130155,NA,-2.10548230595015,1.05807355368763,2.72201506298404,11,-814.62715038287,1694.7113688442,11.3568594370422,0.000833991481087808
5.3597912439015,-0.786816315608581,NA,NA,NA,2.0359934291364,0.14970208241347,-2.31566258701348,1.12333757431224,3.39735616487963,10,-817.691086742799,1694.88859901148,11.5340896043133,0.000763267152353566
5.53562955451891,-2.38332720345972,0.113064537334686,-1.62103358658441,-1.82724257461948,5.14732351153787,0.929025300439864,-0.584187779830607,NA,2.16047757323856,12,-812.076964817483,1695.56164026602,12.2071308588572,0.000545164441609289
5.42736278109242,-0.858497394456683,-0.019190251973715,NA,NA,2.08543765363841,NA,-2.02146740620127,1.12062248645074,3.29896002576809,10,-818.035600177415,1695.57762588071,12.2231164735447,0.000540824414860871
5.36402648324065,-2.03469973052101,NA,-1.28032960463908,NA,4.33022505533459,NA,-0.879973446535847,NA,3.39224716011446,9,-821.022408393552,1695.60059976039,12.2460903532324,0.000534647541944691
5.57452461853017,-2.35576828095452,NA,-1.46678080397097,-0.625815664187264,4.80744837826121,NA,-0.12163291859973,NA,2.74388766601201,10,-818.24487670334,1695.99617893256,12.6416695253954,0.000438701024556443
