"(Intercept)","CVPSWPs","OUTms","Outs","SACms","SACs","SJRms","SJRs","Temp","X2s","df","logLik","BIC","delta","weight"
5.54960177536035,NA,NA,NA,NA,-0.747203589948231,-1.62517222137758,NA,NA,NA,6,-912.061509561819,1859.82687443916,123.23302976229,1.41527939466384e-27
5.62375883324384,NA,NA,NA,NA,NA,-1.77390996257309,NA,NA,NA,5,-916.687687531809,1863.12858782656,126.534743149682,2.71571525119437e-28
6.00782981762627,-1.21562407935158,NA,-1.44390051671303,NA,NA,NA,NA,1.57209725564256,NA,7,-924.096820556774,1889.84813898166,153.254294304787,4.28358528940725e-34
5.59500026213321,-1.37341262444848,NA,-1.39428421193756,NA,NA,NA,NA,NA,NA,6,-935.356754771333,1906.41736485819,169.823520181319,1.0810498843632e-37
5.99046338536116,NA,NA,-2.01982234241582,NA,NA,NA,NA,1.67824347941482,NA,6,-944.259343670274,1924.22254265607,187.6286979792,1.47062011257014e-41
6.21571903321969,-1.7997407093186,NA,NA,NA,NA,NA,NA,1.53798756886816,NA,6,-947.210522191057,1930.12489969764,193.531055020766,7.68811647917105e-43
5.79694660262538,-1.91730230853721,NA,NA,NA,NA,NA,NA,NA,NA,5,-956.37079153829,1942.49479583952,205.900951162645,1.58391231850141e-45
5.53284918759486,NA,NA,-1.9963997449989,NA,NA,NA,NA,NA,NA,5,-959.555679650494,1948.86457206393,212.270727387054,6.55468467240484e-47
6.05455366092162,NA,NA,NA,NA,-1.86874777898245,NA,NA,1.8113356542851,NA,6,-965.879967019298,1967.46378935412,230.869944677248,5.9949157682159e-51
5.57660069347894,NA,NA,NA,NA,-1.9846672012975,NA,NA,NA,NA,5,-977.90242175955,1985.55805628204,248.964211605164,7.05769595360066e-55
6.3506515974722,NA,NA,NA,NA,NA,NA,NA,1.66756080300512,NA,5,-991.331137959901,2012.41548868274,275.821644005866,1.03907189979305e-60
5.84742926718029,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-1003.79743792256,2031.39744605547,294.803601378597,7.84812531017665e-65
