(Intercept),CVPSWPs,INms,SACs,SJRs,Temp,SACms,SJRms,X2s,df,logLik,BIC,Delta
5.96664587,-0.903568793,NA,-0.095765467,NA,NA,NA,-1.494682679,NA,6,-1054.574317,2145.390162,254.4455931
5.981108587,NA,NA,-0.645315991,NA,NA,NA,-1.624921914,NA,5,-1060.955619,2152.112512,261.1679434
6.009763294,NA,NA,NA,NA,NA,NA,-1.79097323,NA,4,-1067.641275,2159.443568,268.4989997
5.973392987,-0.946411642,NA,NA,-1.568972466,NA,NA,NA,NA,5,-1065.307679,2160.816632,269.8720627
6.033150513,NA,NA,NA,-1.932694751,NA,NA,NA,NA,4,-1076.44671,2177.05444,286.1098708
6.052807188,NA,NA,0.401031548,-2.19501049,NA,NA,NA,NA,5,-1075.049538,2180.300349,289.3557805
6.108229912,NA,NA,NA,NA,1.633995387,NA,NA,NA,4,-1095.765958,2215.692934,324.7483656
5.964518171,-1.807350709,NA,NA,NA,NA,NA,NA,NA,4,-1103.187679,2230.536378,339.5918089
5.96280097,-1.596695963,NA,-0.282395684,NA,NA,NA,NA,NA,5,-1102.58194,2235.365154,344.4205853
6.01132071,NA,NA,-1.325376727,NA,NA,NA,NA,NA,4,-1119.076491,2262.314,371.3694314
6.106782773,NA,NA,NA,NA,NA,NA,NA,NA,3,-1142.983668,2304.088101,413.1435322
